DX_TYPE,DX,CONDITION
10,J45,Asthma
10,J45.2,Asthma
10,J45.20,Asthma
10,J45.21,Asthma
10,J45.22,Asthma
10,J45.3,Asthma
10,J45.30,Asthma
10,J45.31,Asthma
10,J45.32,Asthma
10,J45.4,Asthma
10,J45.40,Asthma
10,J45.41,Asthma
10,J45.42,Asthma
10,J45.5,Asthma
10,J45.50,Asthma
10,J45.51,Asthma
10,J45.52,Asthma
10,J45.9,Asthma
10,J45.90,Asthma
10,J45.901,Asthma
10,J45.902,Asthma
10,J45.909,Asthma
10,J45.99,Asthma
10,J45.990,Asthma
10,J45.991,Asthma
10,J45.998,Asthma
09,493,Asthma
09,493.01,Asthma
09,493.02,Asthma
09,493.1,Asthma
09,493.11,Asthma
09,493.12,Asthma
09,493.2,Asthma
09,493.21,Asthma
09,493.22,Asthma
09,493.8,Asthma
09,493.81,Asthma
09,493.82,Asthma
09,493.9,Asthma
09,493.91,Asthma
09,493.92,Asthma
SM,195967001,Asthma
SM,266361008,Asthma
SM,409663006,Asthma
SM,424643009,Asthma
SM,425969006,Asthma
SM,426656000,Asthma
SM,426979002,Asthma
SM,427295004,Asthma
SM,427679007,Asthma
SM,707440005,Asthma
SM,707444001,Asthma
SM,707511009,Asthma
SM,707512002,Asthma
SM,707513007,Asthma
SM,707979007,Asthma
SM,707980005,Asthma
SM,707981009,Asthma
SM,708038006,Asthma
SM,708090002,Asthma
SM,708093000,Asthma
SM,708094006,Asthma
SM,708095007,Asthma
SM,708096008,Asthma
SM,733858005,Asthma
SM,135171000119106,Asthma
SM,135181000119109,Asthma
10,E78.0,Hypercholesterolemia
10,E78.00,Hypercholesterolemia
10,E78.01,Hypercholesterolemia
SM,267432004,Hypercholesterolemia
SM,398036000,Hypercholesterolemia
09,741,Spina bifida
09,741.01,Spina bifida
09,741.02,Spina bifida
09,741.03,Spina bifida
09,741.9,Spina bifida
09,741.91,Spina bifida
09,741.92,Spina bifida
09,741.93,Spina bifida
10,Q05,Spina bifida
10,Q05.0,Spina bifida
10,Q05.1,Spina bifida
10,Q05.2,Spina bifida
10,Q05.3,Spina bifida
10,Q05.4,Spina bifida
10,Q05.5,Spina bifida
10,Q05.6,Spina bifida
10,Q05.7,Spina bifida
10,Q05.8,Spina bifida
10,Q05.9,Spina bifida
SM,67531005,Spina bifida
SM,53318002,Spina bifida
SM,203934001,Spina bifida
SM,203935000,Spina bifida
SM,203936004,Spina bifida
SM,40130009,Spina bifida
SM,204010001,Spina bifida
SM,30620003,Spina bifida
SM,77224008,Spina bifida
SM,445307009,Spina bifida
SM,32232003,Spina bifida
09,277,Cystic fibrosis
09,277.01,Cystic fibrosis
09,277.02,Cystic fibrosis
09,277.03,Cystic fibrosis
09,277.09,Cystic fibrosis
10,E84,Cystic fibrosis
10,E84.0,Cystic fibrosis
10,E84.1,Cystic fibrosis
10,E84.11,Cystic fibrosis
10,E84.19,Cystic fibrosis
10,E84.8,Cystic fibrosis
10,E84.9,Cystic fibrosis
09,295,Schizophrenia
09,295.01,Schizophrenia
09,295.02,Schizophrenia
09,295.03,Schizophrenia
09,295.04,Schizophrenia
09,295.05,Schizophrenia
09,295.1,Schizophrenia
09,295.11,Schizophrenia
09,295.12,Schizophrenia
09,295.13,Schizophrenia
09,295.14,Schizophrenia
09,295.15,Schizophrenia
09,295.2,Schizophrenia
09,292.2,Schizophrenia
09,292.21,Schizophrenia
09,292.22,Schizophrenia
09,292.23,Schizophrenia
09,292.24,Schizophrenia
